Genre_origine;Genre1;Genre2
rock;rock;
pop;pop;
dance pop;pop;electro
rap;rap;
hip hop;rap;
pop rap;rap;pop
pop rock;rock;pop
modern rock;rock;
country rock;rock;country
urban contemporary;rap;
folk rock;rock;folk
latin;latino;
soft rock;rock;
trap;rap;
mellow gold;country;
funk;r&b;soul
classic rock;rock;classical
adult standards;classical;
pop dance;pop;electro
indie pop;rock;pop
album rock;rock;
southern hip hop;rap;
alternative rock;rock;
indie rock;rock;
gangster rap;rap;
alternative metal;metal;
country;country;
new wave pop;pop;
regional mexican;latino;
soul;soul;
r&b;r&b;
post-teen pop;pop;
tropical;latino;
quiet storm;r&b;
folk;folk;
hard rock;rock;
art rock;rock;
dance rock;rock;electro
classical performance;classical;
roots rock;rock;
edm;electro;
brill building pop;pop;
indie folk;rock;folk
electropop;electro;pop
contemporary country;country;
hip pop;rap;
underground hip hop;rap;
blues rock;rock;blues
corrido;latino;
stomp and holler;country;
motown;blues;
classic soul;classical;soul
punk;rock;
latin pop;pop;
show tunes;pop;
new wave;rock;pop
traditional folk;folk;
disco;pop;
nu metal;metal;
country road;country;
hardcore hip hop;rap;
pop punk;pop;rock
cool jazz;jazz;
new jack swing;r&b;rap
neo soul;soul;
hollywood;rap;
lounge;pop;
classical;classical;
rock-and-roll;rock;
bebop;jazz;
neo mellow;rock;
modern alternative rock;rock;
psychedelic rock;rock;electro
alternative hip hop;rap;
jazz;jazz;
reggaeton;reggae;
new romantic;pop;
new americana;pop;
dirty south rap;rap;
soul jazz;jazz;soul
metal;metal;
classic uk pop;classical;pop
vocal jazz;jazz;
electro house;electro;electro
contemporary post-bop;jazz;
indie poptimism;rock;pop
tropical house;electro;
nuevo regional mexicano;latino;
latin hip hop;latino;rap
hard bop;jazz;blues
bubblegum pop;pop;
filmi;classical;folk
electronica;electro;
jazz funk;r&b;jazz
trap latino;rap;latino
post-disco;pop;
movie tunes;classical;
big band;jazz;
ccm;pop;
worship;classical;
rock en espanol;rock;
christian music;classical;
alternative r&b;r&b;
east coast hip hop;rap;
art pop;pop;
southern soul;soul;
broadway;jazz;
europop;pop;
atl hip hop;rap;
jazz fusion;jazz;
opera;classical;
orchestral performance;classical;
lilith;pop;country
easy listening;chill;
rhythm and blues;blues;
rap rock;rock;rap
freak folk;folk;
blues;blues;
swing;jazz;
alternative dance;electro;
christian alternative rock;rock;
indie soul;rock;soul
dance-punk;rock;electro
singer-songwriter;pop;
emo;rock;
salsa;latino;
reggae;reggae;
permanent wave;rock;
pop r&b;pop;r&b
post-punk;rock;
modern country rock;rock;country
stride;jazz;
c-pop;pop;
norteno;latino;
latin alternative;latino;
rockabilly;rock;
electric blues;blues;
vapor trap;rap;
alternative country;country;
new rave;electro;rock
ska;reggae;
emo rap;rap;
pub rock;rock;
comic;classical;
classical piano;classical;
gospel;blues;
hip house;electro;
doo-wop;r&b;
texas country;country;
post-grunge;rock;
experimental;electro;
anthem worship;blues;
screamo;rock;
indie garage rock;rock;
glam metal;metal;
merseybeat;rock;
post-hardcore;metal;
roots reggae;reggae;
jam band;rock;
soundtrack;pop;
latin rock;rock;
skate punk;rock;
reggaeton flow;reggae;
synthpop;pop;
latin jazz;jazz;
indiecoustica;pop;rock
bossa nova;jazz;
smooth jazz;jazz;
jazz saxophone;jazz;
orchestra;classical;
acoustic pop;pop;
viral pop;pop;
traditional blues;blues;
metalcore;metal;
progressive bluegrass;country;
sleep;chill;
yacht rock;rock;
indietronica;electro;rock
electro;electro;
classic bollywood;classical;
melodic metalcore;metal;
progressive house;electro;
symphonic rock;rock;
uk post-punk;rock;
children's music;chill;
chillwave;chill;
country pop;country;pop
world worship;blues;
classical soprano;classical;
compositional ambient;chill;
melodic rap;rap;
sufi;chill;
deep regional mexican;latino;
grupera;latino;
otacore;electro;
banda;latino;
redneck;country;
cali rap;rap;
big room;electro;
disney;pop;
pop edm;pop;electro
sad rap;rap;
mpb;latino;
vapor soul;soul;
rock steady;rock;
turntablism;rap;
industrial metal;metal;
k-pop;pop;
heartland rock;rock;
social media pop;pop;
power pop;pop;
scorecore;electro;
west coast rap;rap;
house;electro;
outlaw country;country;
classic mandopop;classical;pop
conscious hip hop;rap;
classic soundtrack;classical;
escape room;rap;
shimmer pop;pop;
salsa international;latino;
new age;electro;rock
mexican pop;pop;
country dawn;country;
modern blues rock;rock;blues
modern bollywood;pop;
melancholia;chill;
lo-fi beats;electro;
bluegrass;country;
lovers rock;rock;
old school hip hop;rap;
progressive rock;rock;
chanson;pop;
metropopolis;pop;
samba;latino;
trip hop;rap;electro
dub;reggae;
indie cafe pop;rock;pop
ranchera;latino;
dark trap;rap;
hardcore punk;rock;
anti-folk;folk;
southern rock;rock;
desi pop;pop;
punk blues;blues;rock
classic garage rock;rock;classical
neon pop punk;pop;rock
deep new americana;rock;
west coast trap;rap;
ska punk;reggae;rock
piano rock;rock;
cumbia sonidera;latino;
environmental;classical;
modern blues;blues;
classic country pop;classical;country
nu gaze;rock;
eurodance;electro;
free jazz;jazz;
jazz piano;jazz;
mandopop;pop;
appalachian folk;folk;
g funk;r&b;soul
nu jazz;jazz;
post-romantic era;classical;
disco house;electro;pop
british blues;blues;
lo-fi;electro;
old-time;folk;
bolero;latino;
latin christian;latino;
early modern classical;classical;
opm;pop;latino
tejano;pop;rock
reggae fusion;reggae;
crunk;rap;
latin arena pop;pop;
chicago rap;rap;
classic cantopop;classical;pop
pop romantico;pop;
alternative pop;pop;
downtempo;electro;chill
velha guarda;r&b;
garage rock;rock;
electronic trap;electro;rap
dancehall;reggae;
melodic hardcore;metal;
country rap;country;rap
sierreno;latino;pop
gruperas inmortales;pop;
funk metal;r&b;metal
avant-garde jazz;jazz;
protopunk;rock;
mariachi;latino;
christian rock;rock;
australian pop;pop;
british invasion;rock;
spanish pop;pop;
industrial rock;rock;
alternative emo;rock;
boy band;pop;
jazz trumpet;jazz;
indie r&b;rock;r&b
grunge;rock;
glam rock;rock;
pop emo;pop;rock
contemporary jazz;jazz;
indie anthem-folk;rock;folk
classic italian pop;classical;pop
freakbeat;rock;
uk pop;pop;
canadian indie;rock;
christian pop;pop;
canadian pop;pop;
meme rap;rap;
gbvfi;rock;pop
chillhop;chill;
merengue;latino;
britpop;pop;
chicano rap;rap;
big beat;electro;
american folk revival;folk;
late romantic era;classical;
progressive electro house;electro;electro
jawaiian;reggae;
jazz guitar;jazz;
old school dancehall;reggae;
hyphy;rap;
latin worship;latino;
ghazal;folk;pop
comedy;pop;
background music;chill;
sophisti-pop;pop;
classic canadian rock;rock;classical
chamber psych;rock;pop
indie punk;rock;
rebetiko;rock;
chamber pop;pop;
french pop;pop;
celtic;folk;soul
hawaiian;reggae;jazz
acoustic blues;blues;
j-poprock;rock;pop
dream pop;pop;
choral;classical;
